month,date,tier,bucket_name,unlock_tokens,unlock_pct_of_bucket,cumulative_tokens,cumulative_pct_of_bucket,notes
21,2026-11-05,tier_2_entity_controlled,Development Company,3214000,1.8,96424000,53.6,Linear vesting
21,2026-11-05,tier_3_community,Community Incentives,13964000,2.0,326924000,47.4,Linear vesting
22,2026-12-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,143750000,47.9,Linear vesting
22,2026-12-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,27500000,45.8,Linear vesting
22,2026-12-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,28750000,47.9,Linear vesting
22,2026-12-05,tier_1_profit_seeking,Team,13333000,2.8,146663000,30.6,Linear vesting
22,2026-12-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,269700000,27.2,Linear vesting
22,2026-12-05,tier_2_entity_controlled,Development Company,3214000,1.8,99638000,55.4,Linear vesting
22,2026-12-05,tier_3_community,Community Incentives,13964000,2.0,340888000,49.4,Linear vesting
23,2027-01-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,150000000,50.0,Linear vesting
23,2027-01-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,28750000,47.9,Linear vesting
23,2027-01-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,30000000,50.0,Linear vesting
23,2027-01-05,tier_1_profit_seeking,Team,13333000,2.8,159996000,33.3,Linear vesting
23,2027-01-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,284400000,28.7,Linear vesting
23,2027-01-05,tier_2_entity_controlled,Development Company,3214000,1.8,102852000,57.1,Linear vesting
23,2027-01-05,tier_3_community,Community Incentives,13964000,2.0,354852000,51.4,Linear vesting
24,2027-02-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,156250000,52.1,Linear vesting
24,2027-02-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,30000000,50.0,Linear vesting
24,2027-02-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,31250000,52.1,Linear vesting
24,2027-02-05,tier_1_profit_seeking,Team,13333000,2.8,173329000,36.1,Linear vesting
24,2027-02-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,299100000,30.2,Linear vesting
24,2027-02-05,tier_2_entity_controlled,Development Company,3214000,1.8,106066000,58.9,Linear vesting
24,2027-02-05,tier_3_community,Community Incentives,13964000,2.0,368816000,53.5,Linear vesting
25,2027-03-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,162500000,54.2,Linear vesting
25,2027-03-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,31250000,52.1,Linear vesting
25,2027-03-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,32500000,54.2,Linear vesting
25,2027-03-05,tier_1_profit_seeking,Team,13333000,2.8,186662000,38.9,Linear vesting
25,2027-03-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,313800000,31.7,Linear vesting
25,2027-03-05,tier_2_entity_controlled,Development Company,3214000,1.8,109280000,60.7,Linear vesting
25,2027-03-05,tier_3_community,Community Incentives,13964000,2.0,382780000,55.5,Linear vesting
26,2027-04-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,168750000,56.3,Linear vesting
26,2027-04-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,32500000,54.2,Linear vesting
26,2027-04-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,33750000,56.3,Linear vesting
26,2027-04-05,tier_1_profit_seeking,Team,13333000,2.8,199995000,41.7,Linear vesting
26,2027-04-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,328500000,33.2,Linear vesting
26,2027-04-05,tier_2_entity_controlled,Development Company,3214000,1.8,112494000,62.5,Linear vesting
26,2027-04-05,tier_3_community,Community Incentives,13964000,2.0,396744000,57.5,Linear vesting
27,2027-05-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,175000000,58.3,Linear vesting
27,2027-05-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,33750000,56.3,Linear vesting
27,2027-05-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,35000000,58.3,Linear vesting
27,2027-05-05,tier_1_profit_seeking,Team,13333000,2.8,213328000,44.4,Linear vesting
27,2027-05-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,343200000,34.7,Linear vesting
27,2027-05-05,tier_2_entity_controlled,Development Company,3214000,1.8,115708000,64.3,Linear vesting
27,2027-05-05,tier_3_community,Community Incentives,13964000,2.0,410708000,59.5,Linear vesting
28,2027-06-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,181250000,60.4,Linear vesting
28,2027-06-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,35000000,58.3,Linear vesting
28,2027-06-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,36250000,60.4,Linear vesting
28,2027-06-05,tier_1_profit_seeking,Team,13333000,2.8,226661000,47.2,Linear vesting
28,2027-06-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,357900000,36.2,Linear vesting
28,2027-06-05,tier_2_entity_controlled,Development Company,3214000,1.8,118922000,66.1,Linear vesting
28,2027-06-05,tier_3_community,Community Incentives,13964000,2.0,424672000,61.5,Linear vesting
29,2027-07-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,187500000,62.5,Linear vesting
29,2027-07-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,36250000,60.4,Linear vesting
29,2027-07-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,37500000,62.5,Linear vesting
29,2027-07-05,tier_1_profit_seeking,Team,13333000,2.8,239994000,50.0,Linear vesting
29,2027-07-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,372600000,37.6,Linear vesting
29,2027-07-05,tier_2_entity_controlled,Development Company,3214000,1.8,122136000,67.9,Linear vesting
29,2027-07-05,tier_3_community,Community Incentives,13964000,2.0,438636000,63.6,Linear vesting
30,2027-08-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,193750000,64.6,Linear vesting
30,2027-08-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,37500000,62.5,Linear vesting
30,2027-08-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,38750000,64.6,Linear vesting
30,2027-08-05,tier_1_profit_seeking,Team,13333000,2.8,253327000,52.8,Linear vesting
30,2027-08-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,387300000,39.1,Linear vesting
30,2027-08-05,tier_2_entity_controlled,Development Company,3214000,1.8,125350000,69.6,Linear vesting
30,2027-08-05,tier_3_community,Community Incentives,13964000,2.0,452600000,65.6,Linear vesting
31,2027-09-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,200000000,66.7,Linear vesting
31,2027-09-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,38750000,64.6,Linear vesting
31,2027-09-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,40000000,66.7,Linear vesting
31,2027-09-05,tier_1_profit_seeking,Team,13333000,2.8,266660000,55.6,Linear vesting
31,2027-09-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,402000000,40.6,Linear vesting
31,2027-09-05,tier_2_entity_controlled,Development Company,3214000,1.8,128564000,71.4,Linear vesting
31,2027-09-05,tier_3_community,Community Incentives,13964000,2.0,466564000,67.6,Linear vesting
32,2027-10-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,206250000,68.8,Linear vesting
32,2027-10-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,40000000,66.7,Linear vesting
32,2027-10-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,41250000,68.8,Linear vesting
32,2027-10-05,tier_1_profit_seeking,Team,13333000,2.8,279993000,58.3,Linear vesting
32,2027-10-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,416700000,42.1,Linear vesting
32,2027-10-05,tier_2_entity_controlled,Development Company,3214000,1.8,131778000,73.2,Linear vesting
32,2027-10-05,tier_3_community,Community Incentives,13964000,2.0,480528000,69.6,Linear vesting
33,2027-11-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,212500000,70.8,Linear vesting
33,2027-11-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,41250000,68.8,Linear vesting
33,2027-11-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,42500000,70.8,Linear vesting
33,2027-11-05,tier_1_profit_seeking,Team,13333000,2.8,293326000,61.1,Linear vesting
33,2027-11-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,431400000,43.6,Linear vesting
33,2027-11-05,tier_2_entity_controlled,Development Company,3214000,1.8,134992000,75.0,Linear vesting
33,2027-11-05,tier_3_community,Community Incentives,13964000,2.0,494492000,71.7,Linear vesting
34,2027-12-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,218750000,72.9,Linear vesting
34,2027-12-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,42500000,70.8,Linear vesting
34,2027-12-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,43750000,72.9,Linear vesting
34,2027-12-05,tier_1_profit_seeking,Team,13333000,2.8,306659000,63.9,Linear vesting
34,2027-12-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,446100000,45.1,Linear vesting
34,2027-12-05,tier_2_entity_controlled,Development Company,3214000,1.8,138206000,76.8,Linear vesting
34,2027-12-05,tier_3_community,Community Incentives,13964000,2.0,508456000,73.7,Linear vesting
35,2028-01-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,225000000,75.0,Linear vesting
35,2028-01-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,43750000,72.9,Linear vesting
35,2028-01-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,45000000,75.0,Linear vesting
35,2028-01-05,tier_1_profit_seeking,Team,13333000,2.8,319992000,66.7,Linear vesting
35,2028-01-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,460800000,46.5,Linear vesting
35,2028-01-05,tier_2_entity_controlled,Development Company,3214000,1.8,141420000,78.6,Linear vesting
35,2028-01-05,tier_3_community,Community Incentives,13964000,2.0,522420000,75.7,Linear vesting
36,2028-02-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,231250000,77.1,Linear vesting
36,2028-02-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,45000000,75.0,Linear vesting
36,2028-02-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,46250000,77.1,Linear vesting
36,2028-02-05,tier_1_profit_seeking,Team,13333000,2.8,333325000,69.4,Linear vesting
36,2028-02-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,475500000,48.0,Linear vesting
36,2028-02-05,tier_2_entity_controlled,Development Company,3214000,1.8,144634000,80.4,Linear vesting
36,2028-02-05,tier_3_community,Community Incentives,13964000,2.0,536384000,77.7,Linear vesting
37,2028-03-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,237500000,79.2,Linear vesting
37,2028-03-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,46250000,77.1,Linear vesting
37,2028-03-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,47500000,79.2,Linear vesting
37,2028-03-05,tier_1_profit_seeking,Team,13333000,2.8,346658000,72.2,Linear vesting
37,2028-03-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,490200000,49.5,Linear vesting
37,2028-03-05,tier_2_entity_controlled,Development Company,3214000,1.8,147848000,82.1,Linear vesting
37,2028-03-05,tier_3_community,Community Incentives,13964000,2.0,550348000,79.8,Linear vesting
38,2028-04-05,tier_1_profit_seeking,Seed Round 1,6250000,2.1,243750000,81.3,Linear vesting
38,2028-04-05,tier_1_profit_seeking,Seed Round 2,1250000,2.1,47500000,79.2,Linear vesting
38,2028-04-05,tier_1_profit_seeking,Strategic Round,1250000,2.1,48750000,81.3,Linear vesting
38,2028-04-05,tier_1_profit_seeking,Team,13333000,2.8,359991000,75.0,Linear vesting
38,2028-04-05,tier_2_entity_controlled,Foundation Reserve,14700000,1.5,504900000,51.0,Linear vesting
38,2028-04-05,tier_2_entity_controlled,Development Company,3214000,1.8,151062000,83.9,Linear vesting
